PUID,name,extension,containerDataFormat,category,outPuid,possibleOutPuid,outputDataFormat,keepOriginal
x-fmt/1,Microsoft Word for Macintosh Document Ver. (3.0),mcw,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/2,Microsoft Word for Macintosh Document Ver. (6.0),,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/3,Online Description Tool Format,odt,false,Text (Structured),fmt/477,fmt/477,false,false
x-fmt/4,Write for Windows Document Ver. (3.1),wri,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/5,Works for Macintosh Document Ver. (4.0),,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/6,FoxPro Database Ver. (2.0),dbf,false,Database,fmt/101,fmt/101,false,false
x-fmt/7,FoxPro Database Ver. (2.5),dbf,false,Database,fmt/101,fmt/101,false,false
x-fmt/8,dBASE Database Ver. (II),dbf,false,Database,fmt/101,fmt/101,false,false
x-fmt/9,dBASE Database Ver. (III),dbf,false,Database,fmt/101,fmt/101,false,false
x-fmt/10,dBASE Database Ver. (IV),dbf,false,Database,fmt/101,fmt/101,false,false
x-fmt/11,Revisable-Form-Text Document Content Architecture,,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/12,Write for Windows Document Ver. (3.0),wri,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/13,Tab-separated values,tsv,false,Text (Structured),fmt/477,fmt/477,false,true
x-fmt/14,Macintosh Text File,,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/15,MS-DOS Text File,,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/16,Unicode Text File,,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/17,Microsoft Excel Template Ver. (97-2003),xlt,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/18,Comma Separated Values,csv,false,Text (Plain),fmt/101,fmt/101,false,true
x-fmt/19,3D Studio,3ds,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/20,Adobe Illustrator Ver. (1.0 / 1.1),ai,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/21,7-bit ANSI Text,ans,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/22,7-bit ASCII Text,asc,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/23,Microsoft Excel Backup,xlk,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/24,AutoCAD Block Attribute Template,blk,false,CAD,x-fmt/24,x-fmt/24,true,false
x-fmt/25,OS/2 Bitmap Ver. (1.0),,false,Image (Vector),fmt/477,fmt/477,false,true
